cell_id,latitude,longitude,population,buildings,road_km,hospitals,schools,vulnerability_index,flood_depth_m,flood_duration_h,building_damage_pct,road_damage_pct,affected_population,estimated_damage_inr,impact_class
C00906,25.12976528815691,90.22211670602393,853.6,166,5.91,0,0,0.153,0.223,3.9,23.95,13.55,169.3,9388766.0,None/Low
C00907,23.53355994296781,80.60512483565721,2397.7,478,3.23,2,0,0.953,1.71,17.3,46.62,31.58,1596.8,59531445.0,High
C00908,24.5616255181135,86.23441402715633,4873.6,1108,3.5,1,2,0.533,2.067,21.7,46.51,42.57,3047.9,129712413.0,Severe
C00909,23.572080046377167,78.82609608436854,6283.8,1204,4.95,2,5,0.607,0.204,5.1,0.0,16.09,1938.0,23455629.0,None/Low
C00910,25.97439895418837,88.26512015113994,1276.9,255,10.62,0,1,0.157,0.617,7.8,6.49,20.62,345.1,7669004.0,Moderate
C00911,26.379202118613684,84.63898407939728,3594.7,757,0.98,1,1,0.41,0.61,6.0,16.51,13.04,1194.7,36869883.0,Moderate
C00912,19.851440558341718,80.16672141281373,3934.9,1024,1.65,0,0,0.668,0.829,5.2,33.58,13.69,1716.0,82537310.0,Moderate
C00913,26.074703823128594,72.83407080121599,5009.9,911,3.12,0,4,0.9,1.202,10.7,29.62,18.15,2812.8,82462368.0,High
C00914,25.634407505538658,77.61542663117146,5893.8,1472,2.97,2,3,0.69,1.201,13.1,27.58,3.15,2998.6,109074027.0,High
C00915,24.78257213614789,77.54442125749043,5736.8,1185,6.9,1,4,0.252,1.401,15.2,24.81,21.68,2497.2,83257102.0,High
C00916,18.429840268201204,88.66178856915391,4887.4,1090,3.71,2,9,0.625,2.703,22.7,63.07,47.88,3728.2,168916883.0,Severe
C00917,21.645445399751406,80.75033311036584,707.5,136,1.48,1,0,0.704,0.375,4.4,18.83,5.21,257.2,7715750.0,Moderate
C00918,24.867840893795925,83.76050017765081,1988.2,427,6.28,2,1,0.229,0.793,11.0,27.41,10.25,636.4,28869071.0,Moderate
C00919,23.53413704369703,75.87736715698703,4736.9,928,3.22,0,0,0.291,0.38,2.8,20.38,18.51,1236.5,49035935.0,Moderate
C00920,22.288009678275834,81.30050102269342,1746.9,362,0.58,0,2,0.276,0.484,7.0,17.04,11.45,482.6,16914198.0,Moderate
C00921,24.657894135204575,84.65933122537403,1680.2,450,2.47,0,1,0.921,1.361,13.7,36.49,23.09,1000.4,41700877.0,High
C00922,24.005682802610664,73.84595242854247,1972.0,380,2.3,0,1,0.744,0.277,3.0,16.97,11.42,701.7,20093980.0,None/Low
C00923,18.10877679564209,81.55487599645839,6730.1,1585,2.04,2,3,0.494,1.598,21.5,22.87,29.76,3575.2,108302517.0,High
C00924,27.261580904420313,75.63047818893547,1319.3,274,0.77,0,0,0.152,0.716,7.2,18.79,15.43,378.5,13838806.0,Moderate
C00925,19.79154030261555,84.85238407685175,3624.8,720,4.0,0,4,0.85,0.479,4.0,26.44,5.2,1518.2,52536644.0,Moderate
C00926,23.78854340368318,76.74125164890314,1354.8,264,6.8,0,0,0.583,0.625,8.8,16.37,13.45,512.5,14157796.0,Moderate
C00927,26.12664193297789,77.6360405653909,7111.5,1327,3.21,1,7,0.674,1.271,9.2,34.03,19.59,3678.3,125590076.0,High
C00928,27.44551190773028,85.6311935691686,2411.1,460,12.11,0,1,0.787,2.217,16.3,52.23,38.2,1725.8,65110791.0,Severe
C00929,18.780282355487113,88.49838475191132,1223.7,335,3.6,0,1,0.796,0.566,6.1,26.55,13.64,514.9,22308671.0,Moderate
C00930,26.303903997730643,76.83104536605718,2681.6,616,9.25,1,2,0.296,0.043,2.5,12.41,2.21,541.4,20310399.0,None/Low
C00931,28.96572884240794,88.73873215159941,4243.6,1189,2.0,1,2,0.337,0.0,9.4,4.16,1.99,867.2,19316278.0,None/Low
C00932,20.786229103432504,88.19500880511222,25090.7,7015,6.31,2,27,0.208,0.148,1.0,7.62,11.29,4984.1,156174907.0,None/Low
C00933,18.15707765151395,89.69019840124763,847.3,156,8.01,0,0,0.65,1.337,13.1,34.38,18.11,443.1,15334026.0,High
C00934,23.000458253264807,76.41453685343231,4753.6,1320,1.9,1,2,0.955,0.183,4.0,29.24,22.07,1861.9,91932581.0,None/Low
C00935,25.99441376689222,87.59351391575659,833.8,182,1.0,0,0,0.839,2.09,17.4,56.4,25.1,588.7,25602080.0,Severe
C00936,19.785603575215262,89.26774117260992,1125.5,284,2.37,0,0,0.706,0.0,1.0,19.99,8.87,333.7,14275665.0,None/Low
C00937,22.241355963918373,88.4798840815931,5927.5,1231,3.31,0,5,0.653,0.115,3.2,13.24,1.53,1802.3,50970759.0,None/Low
C00938,19.29117342788014,76.90207880445195,7652.1,1764,2.07,0,10,0.755,0.929,12.3,28.84,13.02,3642.4,135364213.0,Moderate
C00939,19.904375722636022,73.20314005030646,2964.9,721,5.51,0,0,0.729,2.398,18.6,57.13,35.85,2175.9,100747045.0,Severe
C00940,21.112657478238425,76.42547780975833,8330.6,2142,2.46,2,4,0.347,0.152,1.0,6.36,2.33,1949.4,47923974.0,None/Low
C00941,22.07053270285433,76.49333816445457,10870.5,2110,0.95,1,5,0.429,0.145,3.7,14.78,4.38,2753.9,89185305.0,None/Low
C00942,20.821085414359732,73.16216793386043,1313.3,273,1.06,1,0,0.313,1.036,16.3,23.99,17.94,505.3,17899044.0,High
C00943,23.6697613574136,78.4008352801112,4238.3,844,5.98,2,4,0.526,0.0,1.0,20.16,6.16,1065.7,43500425.0,None/Low
C00944,21.26416635887799,74.81198306260514,3457.4,631,2.14,1,1,0.436,0.981,8.8,27.27,18.49,1401.8,47893533.0,Moderate
C00945,20.90694449411352,80.95611479579068,510.5,130,0.97,0,0,0.827,0.736,7.3,23.4,15.3,234.5,8326346.0,Moderate
C00946,19.041016414394555,73.0793486568629,2847.8,602,1.31,0,2,0.816,1.003,8.9,30.02,25.34,1436.7,49857501.0,High
C00947,18.287702303298325,73.43585241205848,4580.4,941,5.22,1,2,0.902,3.852,38.6,67.29,54.58,4580.4,169660275.0,Severe
C00948,25.102584399045426,79.9417132625032,10022.0,2328,0.75,3,4,0.208,0.38,8.1,0.0,0.11,2410.4,28924451.0,Moderate
C00949,23.304738400153404,72.71407171414424,1714.4,402,10.69,0,2,0.606,1.373,8.2,38.36,17.22,889.0,38886481.0,High
C00950,25.102428407451264,77.0694569708804,6848.4,1349,4.78,1,5,0.492,0.403,1.0,21.51,10.26,2160.8,78273365.0,Moderate
C00951,18.8528071092289,78.18705621169747,2051.4,397,1.63,0,0,0.586,3.538,35.9,71.84,48.89,1853.1,73768833.0,Severe
C00952,25.619163057079877,76.83313313229672,2843.8,550,1.53,1,1,0.796,0.449,3.9,22.91,17.25,1137.0,36389911.0,Moderate
C00953,26.820878260575427,76.24511261886904,4789.2,972,5.28,0,6,0.794,0.258,4.0,8.52,9.32,1747.4,35994183.0,None/Low
C00954,22.89293218057471,76.66631260864519,7871.7,2040,1.4,1,3,0.338,0.176,1.8,1.48,8.13,1859.3,27760918.0,None/Low
C00955,28.65804550179618,72.50742721826057,1505.4,384,3.33,0,0,0.474,2.57,21.9,59.15,44.36,1055.2,53916819.0,Severe
C00956,24.448595565151972,76.66789366239688,1078.9,267,8.53,0,0,0.613,1.487,20.5,40.57,34.6,583.7,27239623.0,High
C00957,23.547668087367114,87.23506161965089,22846.4,5569,0.76,3,13,0.401,1.406,19.8,33.14,19.12,10810.4,461961314.0,High
C00958,27.651906380418133,89.47751715263735,1379.5,300,3.97,1,1,0.46,0.92,6.1,16.7,9.89,552.6,15750345.0,Moderate
C00959,24.42159577901869,86.19810974445636,13498.5,3204,5.15,5,13,0.704,1.83,8.9,28.65,20.39,8440.6,266777232.0,High
C00960,26.479986881934973,74.70886068425058,2026.9,547,1.42,1,1,0.242,0.882,9.4,22.49,12.29,687.4,30438569.0,Moderate
C00961,27.379467847008627,75.91815922697293,1800.3,366,2.77,1,0,0.905,0.54,7.2,15.19,11.74,798.4,19667738.0,Moderate
C00962,28.638965285059854,83.7345697684361,591.8,137,2.27,0,0,0.451,1.959,17.0,51.05,36.04,346.3,16950277.0,High
C00963,18.394432472562222,78.46061279725171,2850.5,555,4.91,1,2,0.339,0.024,1.0,9.48,11.03,595.5,16748531.0,None/Low
C00964,24.80861840918056,81.99778926722328,6093.4,1328,7.58,0,2,0.48,0.742,7.5,34.9,14.31,2276.1,111016955.0,Moderate
C00965,18.348233837589916,81.5805894676039,3554.1,793,3.85,0,5,0.399,3.288,27.4,72.51,52.09,2884.4,138615281.0,Severe
C00966,20.66102967429289,83.83596920514478,1925.3,433,3.56,0,2,0.611,0.139,1.0,21.14,0.0,573.5,23355557.0,None/Low
C00967,24.833247883274232,75.55253362196935,1074.7,218,0.79,0,2,0.521,0.155,1.7,23.37,11.43,299.0,12781255.0,None/Low
C00968,19.058872199627217,84.88509710214281,841.4,181,0.57,0,1,0.73,0.467,5.8,18.62,4.87,325.4,9976255.0,Moderate
C00969,18.587011218838935,77.47851598901968,2005.5,498,4.43,0,2,0.328,1.28,19.8,38.85,27.07,866.9,45524719.0,High
C00970,20.53026048721295,87.09004372912588,5497.0,1459,3.43,4,5,0.7,0.885,6.2,25.09,20.91,2497.8,96035670.0,Moderate
C00971,24.284575835645864,90.38209917620958,2125.1,444,5.64,0,3,0.688,1.619,16.0,40.33,30.55,1239.8,47536740.0,High
C00972,21.12446452256031,90.73353008578698,2076.3,395,0.62,0,3,0.382,1.518,9.7,39.75,24.97,1014.5,40471168.0,High
C00973,24.234969956095654,73.76639897429722,2281.7,565,4.67,0,0,0.506,0.0,1.8,11.34,0.0,562.5,18283248.0,None/Low
C00974,18.30969021521018,78.19780886234864,2733.2,516,3.83,0,0,0.06,0.157,1.0,1.79,6.81,446.3,7086302.0,None/Low
C00975,21.561325023781,75.39911382462228,261.8,47,6.21,0,1,0.735,0.583,9.5,26.61,18.16,107.0,3817355.0,Moderate
C00976,24.821221910612298,77.25504014232305,3222.4,801,12.4,0,3,0.454,0.53,4.0,10.41,18.96,1059.7,28311767.0,Moderate
C00977,22.05878076164471,79.65935805145489,10821.9,2400,4.61,3,4,0.562,0.852,1.3,20.42,9.27,4479.3,142070701.0,Moderate
C00978,24.901181781936778,87.90669807170752,4842.5,1357,4.57,2,3,0.08,1.543,10.5,38.92,28.46,2022.9,119663524.0,High
C00979,20.92338181217495,73.92893141966648,971.2,200,7.34,1,2,0.784,1.734,16.1,33.3,26.27,609.9,19787694.0,High
C00980,19.90205055909546,77.8664278085016,1917.9,506,2.41,0,2,0.445,0.509,6.6,16.54,16.09,619.1,22593501.0,Moderate
C00981,25.543495288516457,78.04964412195072,6132.6,1335,2.16,1,3,0.421,0.214,5.0,18.89,4.19,1617.2,64816012.0,None/Low
C00982,25.100081996494584,85.76940785009495,1009.9,210,6.52,0,0,0.195,0.881,8.0,25.0,17.07,330.5,13694409.0,Moderate
C00983,20.43113125935892,83.2858119946386,1704.4,413,1.16,0,3,0.542,0.875,8.9,18.47,19.07,703.9,22234059.0,Moderate
C00984,27.842729913233292,89.6139907566076,3073.1,776,1.31,0,0,0.68,1.706,19.6,50.17,28.03,1835.5,92189638.0,High
C00985,18.936106500917738,77.44711399824601,923.5,190,4.72,0,1,0.581,0.75,11.4,17.41,21.88,369.6,10646422.0,Moderate
C00986,23.249387604049403,88.98712485032416,2456.7,575,0.45,0,0,0.733,2.64,22.9,66.59,45.45,1912.6,91917584.0,Severe
C00987,18.15277740043413,90.276098955794,2936.0,624,4.49,0,2,0.434,0.091,7.4,7.32,1.34,718.5,16863328.0,None/Low
C00988,28.6515277088687,73.08709357097806,1971.2,542,1.25,0,0,0.193,0.46,7.1,2.28,1.13,494.7,8164874.0,Moderate
C00989,28.28693596535789,78.44545241369353,1932.2,361,2.14,0,2,0.275,0.278,4.1,14.36,2.5,461.5,14879709.0,None/Low
C00990,19.330204440788904,75.32619209217583,1857.9,339,1.04,0,1,0.719,1.381,9.8,32.64,26.95,1018.8,32210017.0,High
C00991,26.71254908929552,75.19344650739399,15826.3,4356,5.26,1,10,0.627,1.5,20.9,37.83,20.87,8653.3,400750317.0,High
C00992,21.867888768651994,89.71528893775454,18082.2,3734,7.45,3,13,0.221,0.375,7.4,16.31,10.71,4388.7,162520522.0,Moderate
C00993,25.555652899125846,81.51692787049858,5418.7,1156,4.18,0,6,0.552,1.152,11.4,37.47,16.71,2522.1,108404813.0,High
C00994,21.6397070407287,81.10020459306885,1563.4,343,9.58,1,1,0.206,0.354,3.4,10.8,5.44,367.7,11213095.0,Moderate
C00995,25.358552213751477,85.97296111287316,5590.2,1581,3.52,0,3,0.157,0.002,5.4,2.57,0.0,892.6,18027784.0,None/Low
C00996,19.819192446067355,89.11807776384367,28973.1,8092,1.32,4,18,0.397,2.169,15.3,41.48,30.67,17668.6,816329696.0,Severe
C00997,23.113279658296005,90.10117306245898,924.2,251,1.9,1,0,0.604,1.269,12.5,33.63,21.77,461.5,20834119.0,High
C00998,27.425563222054198,80.47970418037424,6336.2,1523,2.38,2,8,0.237,0.128,7.4,6.31,7.53,1281.6,32731294.0,None/Low
C00999,28.566758001093888,88.9713224815267,2691.0,527,2.11,0,4,0.247,0.586,6.5,25.42,6.36,772.4,33419312.0,Moderate
C01000,22.886799436677805,83.64116118107063,1107.6,216,2.49,0,1,0.133,1.175,10.7,27.83,21.01,404.0,15798162.0,High
C01001,28.724120206772373,74.07703984348775,1621.5,326,0.48,0,3,0.654,0.653,10.4,24.2,18.89,650.0,22025810.0,Moderate
C01002,19.757987343351324,83.03408705075942,1041.3,241,0.53,1,0,0.816,2.951,22.9,72.52,46.3,890.7,42210413.0,Severe
C01003,22.023654781076456,82.75003912268298,4166.9,990,5.06,0,5,0.44,0.629,3.4,10.11,21.84,1430.0,35455643.0,Moderate
C01004,18.60892126806946,90.63982675837653,1858.5,392,6.07,0,6,0.848,0.942,7.5,20.98,17.82,931.9,26257902.0,Moderate
C01005,20.041748914803254,73.43434678227985,3046.3,852,4.62,0,3,0.674,1.2,9.4,36.0,26.3,1536.9,73949772.0,High
C01006,27.1238938104578,75.98311984638968,3261.6,702,2.27,1,2,0.286,0.419,2.2,12.62,11.75,870.8,26467498.0,Moderate
C01007,24.790145354063238,79.01122362238385,956.7,182,2.54,0,1,0.69,0.305,5.5,17.53,18.53,332.4,9848486.0,Moderate
C01008,19.06711786133049,77.01512580719715,5029.2,970,8.2,0,1,0.356,0.0,5.6,4.79,5.25,1051.7,21098799.0,None/Low
C01009,22.477962426179683,79.7017316460365,8232.3,1980,2.9,0,2,0.418,1.274,11.2,40.04,25.15,3736.8,187728822.0,High
C01010,18.546842935927543,90.80155179766697,705.0,171,9.56,0,1,0.527,0.22,3.7,16.09,6.06,205.3,7562393.0,None/Low
C01011,26.51401778964145,77.7873888263227,4117.7,884,2.85,0,0,0.483,1.404,9.7,35.77,17.26,2031.7,81416580.0,High
C01012,23.31346248302701,79.90828087511062,15074.9,3113,0.88,4,9,0.191,0.202,3.2,0.37,14.32,3074.9,39009434.0,None/Low
C01013,18.985379374090833,83.23968961706433,664.3,185,4.0,0,0,0.616,1.587,15.2,39.57,23.69,371.7,17873765.0,High
C01014,23.733959551985127,73.51914907697096,625.9,140,1.75,0,0,0.324,0.887,9.2,22.18,17.34,225.7,8374929.0,Moderate
C01015,18.54773911143358,84.55598594682188,4455.4,840,7.35,1,3,0.288,0.453,5.2,0.0,5.73,1219.0,14732780.0,Moderate
C01016,18.32602700998132,72.4326590274079,6506.4,1653,5.39,1,3,0.286,0.03,2.9,8.17,6.6,1281.6,39786223.0,None/Low
C01017,26.190147224051472,84.74733755503124,1138.0,226,2.01,0,1,0.534,0.81,17.1,17.91,21.01,454.2,12842091.0,Moderate
C01018,18.887648749993883,86.25227755507251,18521.0,3866,1.17,2,13,0.427,2.173,16.3,36.73,37.13,11443.3,393013574.0,Severe
C01019,20.223673578988606,85.58637751877993,2689.1,512,4.64,1,2,0.688,0.23,6.1,13.93,8.61,896.3,23696915.0,None/Low
C01020,26.195825690171375,83.0613169443314,702.8,166,5.54,0,0,0.66,0.0,1.0,17.26,0.0,200.3,7562130.0,None/Low
C01021,25.78763887595511,72.2601147056812,378.5,90,1.05,0,0,0.696,0.0,1.0,19.64,5.15,111.3,4530628.0,None/Low
C01022,23.12919279531568,75.33045531664526,2894.8,580,1.67,0,3,0.151,0.245,1.0,15.31,15.29,583.9,23051843.0,None/Low
C01023,27.168628228609762,76.54437120940318,2958.8,594,1.55,1,2,0.113,1.103,8.6,20.91,13.72,1025.6,34712385.0,High
C01024,28.66076662426802,80.65842888386578,724.7,173,0.27,0,1,0.296,0.572,2.9,28.22,15.2,215.3,11382034.0,Moderate
C01025,25.46505249221365,88.2804327823907,1582.8,360,4.44,0,2,0.489,1.67,13.7,53.81,23.85,859.2,45441504.0,High
C01026,23.634518502896267,81.90298828548599,1824.3,393,3.79,1,0,0.293,1.489,14.6,31.81,18.6,841.7,32781092.0,High
C01027,22.072209193835143,74.35245412020689,1858.1,377,2.44,1,0,0.109,0.527,7.8,6.96,12.67,450.0,10199781.0,Moderate
C01028,23.2669901818184,75.30318826271287,4248.1,907,1.18,0,2,0.491,0.02,1.0,13.81,9.91,1046.4,35135067.0,None/Low
C01029,26.85709377697458,79.2641475106454,1071.9,268,2.75,0,0,0.641,2.808,24.1,62.94,54.06,842.1,40839387.0,Severe
C01030,19.02055064438127,85.73124676583151,2252.1,469,2.57,0,1,0.488,1.187,13.5,32.78,25.48,1026.0,40151273.0,High
C01031,18.88982977586242,90.63279043079933,5958.3,1430,2.49,0,6,0.595,0.972,1.0,39.15,22.05,2643.5,132627703.0,Moderate
C01032,25.219649511397495,83.7878722599882,4657.0,982,1.85,0,2,0.787,1.122,12.8,56.53,22.61,2415.0,129010265.0,High
C01033,24.17541837226111,87.2923331774507,1194.7,218,7.39,0,0,0.212,0.137,2.6,24.44,3.33,236.0,12483353.0,None/Low
C01034,28.710994624241753,87.6541624987632,1481.0,326,1.37,0,0,0.114,0.01,1.0,7.94,14.16,222.7,7380860.0,None/Low
C01035,22.012371226207968,90.00279857813963,1596.4,311,1.28,1,2,0.302,0.148,4.9,14.92,0.0,354.5,12608565.0,None/Low
C01036,19.70732816606207,76.35359453649897,1170.6,319,0.59,0,0,0.649,0.308,12.6,18.29,0.71,395.3,15247019.0,Moderate
C01037,22.759935626949765,89.9172975856763,4346.4,809,5.2,0,2,0.754,0.444,4.7,32.08,0.0,1687.6,66965639.0,Moderate
C01038,22.798154992549286,82.53227028601697,16809.1,4262,2.79,1,11,0.481,0.099,6.3,24.13,17.27,4340.0,237293114.0,None/Low
C01039,28.883298660130002,84.80581322438815,1866.4,495,1.0,0,2,0.732,0.825,11.4,26.23,13.39,842.6,33516640.0,Moderate
C01040,26.619874988432535,81.49318444501961,3134.2,573,1.51,1,3,0.607,0.0,5.0,7.47,0.0,852.1,17929833.0,None/Low
C01041,22.180259745486595,78.64844426084012,3037.2,566,5.03,0,2,0.409,1.084,10.4,23.21,15.27,1267.5,39050801.0,High
C01042,18.13948005976484,73.79388021479632,5353.6,1480,3.21,1,3,0.302,1.904,15.9,37.15,23.69,2881.6,133738675.0,High
C01043,23.990992987145738,85.53200255064333,5158.1,938,1.5,2,3,0.482,0.977,11.1,30.02,18.87,2147.4,76521398.0,Moderate
C01044,26.656415494040047,73.46700999571115,2186.8,460,1.05,0,2,0.686,0.498,4.9,28.52,7.48,833.6,33640715.0,Moderate
C01045,24.85057480928188,78.54699014924324,1804.2,431,6.18,0,0,0.675,0.719,2.5,27.2,9.35,754.5,30302589.0,Moderate
C01046,25.570351764117856,85.41179573256913,1569.7,427,3.34,1,4,0.394,1.915,16.1,40.02,33.93,883.9,41648322.0,High
C01047,18.89569340886174,79.93332567141925,6794.2,1495,1.16,0,7,0.777,0.106,6.2,24.1,11.69,2263.8,92041307.0,None/Low
C01048,28.654923524686286,84.39829327825296,7508.5,1529,4.37,1,5,0.239,1.723,18.1,33.49,40.6,3678.9,136771525.0,High
C01049,19.607972593892924,75.56895663757001,6565.1,1694,4.14,1,3,0.333,0.308,1.0,9.45,7.83,1698.4,49267792.0,Moderate
C01050,27.96249042401783,88.91441913408357,4571.4,1053,4.08,1,3,0.706,0.359,8.8,32.06,13.84,1651.5,80724881.0,Moderate
C01051,26.4875736132687,85.47505695851504,4356.4,1149,5.41,2,1,0.341,0.344,7.9,18.04,8.09,1164.3,51388133.0,Moderate
C01052,20.48641332905575,84.25732073593394,11113.6,2974,1.49,0,7,0.706,0.086,2.1,21.25,7.24,3465.5,155373116.0,None/Low
C01053,26.366489944868732,85.93172378680582,1292.6,259,2.97,0,1,0.466,0.347,6.0,24.06,1.88,386.2,15865507.0,Moderate
C01054,25.175232465579942,74.4626834396305,8326.5,1618,2.75,1,5,0.673,0.678,6.3,28.57,9.24,3416.5,124277730.0,Moderate
C01055,24.141799795579782,78.01755753426498,13464.4,2857,6.12,0,5,0.435,3.473,23.6,67.06,45.1,11498.3,483519722.0,Severe
C01056,25.763369147647296,87.50799360591655,2941.2,623,3.22,0,1,0.348,0.412,8.9,21.58,9.48,826.8,34196728.0,Moderate
C01057,22.087669852460436,88.07482559468434,13217.1,2498,4.84,2,6,0.443,0.348,7.9,15.91,6.78,3879.2,118180627.0,Moderate
C01058,23.10475256833876,86.34516713637998,4171.0,976,1.11,1,7,0.527,0.0,1.0,10.58,0.0,1049.8,31191833.0,None/Low
C01059,19.467130860320044,76.08511031590992,514.0,107,1.48,0,2,0.791,0.78,7.5,31.16,14.49,235.4,8879933.0,Moderate
C01060,27.70346138985904,90.02637265981384,954.6,206,1.69,0,0,0.334,0.906,8.5,28.48,6.71,349.8,14786770.0,Moderate
C01061,19.81486609600324,89.31400542635458,3580.1,883,1.18,2,1,0.699,0.66,8.0,23.52,18.02,1481.3,55211996.0,Moderate
C01062,23.98496771878987,82.51570754965549,610.6,149,3.27,0,0,0.239,0.159,1.9,3.97,5.58,127.2,2636593.0,None/Low
C01063,18.602648175324337,79.62486337079628,5007.8,931,0.8,0,4,0.527,1.627,11.8,47.0,29.47,2726.7,111546964.0,High
C01064,24.312185350504627,85.23280119084157,9436.4,2071,5.91,0,10,0.617,0.729,10.5,31.52,24.82,3826.1,163775037.0,Moderate
C01065,26.035071689868886,77.65385475150383,2515.8,514,2.36,0,3,0.492,0.191,2.8,17.0,10.29,698.2,24164746.0,None/Low
C01066,19.456847487518402,82.52571544624203,2885.5,734,6.9,1,2,0.531,0.164,2.4,7.0,0.0,814.4,19019329.0,None/Low
C01067,26.573739744534812,90.0826515650076,3989.8,957,2.53,1,0,0.234,0.713,12.0,14.93,9.19,1223.8,40462798.0,Moderate
C01068,18.185297328422074,85.71843979750618,2253.0,504,4.78,1,3,0.467,0.376,5.7,13.71,7.3,685.5,20751805.0,Moderate
C01069,27.144719834821252,88.15284987952374,659.4,148,6.67,0,0,0.463,0.878,8.7,35.8,10.79,259.7,12834451.0,Moderate
C01070,25.78906752565088,81.23746991933707,1360.5,363,2.56,0,0,0.316,0.0,3.3,13.94,0.0,270.9,12358801.0,None/Low
C01071,19.16182806272357,74.27349729264638,5682.1,1152,3.41,0,2,0.904,0.2,1.0,10.26,9.32,2170.7,47405711.0,None/Low
C01072,26.54048630992952,85.68017808836281,10446.4,2941,6.76,2,5,0.208,0.447,5.0,21.42,9.32,2636.9,145188268.0,Moderate
C01073,22.77299088987934,86.11157771326707,2490.4,517,2.35,1,3,0.228,0.379,2.9,11.43,11.32,611.0,18036518.0,Moderate
C01074,18.923966037195243,79.35103024592405,5605.8,1162,0.64,2,3,0.375,0.22,3.6,12.69,22.57,1420.4,43626197.0,None/Low
C01075,23.501835907455053,87.41918282200402,14638.4,3419,9.41,2,13,0.723,1.325,15.8,48.88,23.07,7895.6,396098230.0,High
C01076,19.400155368575682,75.00393205411952,2831.5,764,0.89,0,4,0.846,1.11,13.2,38.11,18.98,1504.3,70500313.0,High
C01077,22.19504389212059,88.92894439990008,1643.2,309,1.89,0,0,0.622,0.774,11.5,17.13,10.1,681.5,17753654.0,Moderate
C01078,22.375592794467522,88.7688897782694,2147.6,423,1.96,0,0,0.764,0.543,10.9,24.85,18.68,877.8,29549742.0,Moderate
C01079,21.7203164034542,84.51522000254265,2239.7,421,0.69,1,0,0.724,0.127,5.7,16.57,8.44,725.2,21273668.0,None/Low
C01080,26.153944819038113,88.53115825518208,6506.7,1686,2.34,1,4,0.791,0.692,5.9,17.7,22.68,2878.0,88386660.0,Moderate
C01081,20.804435914529936,85.93510674067309,1520.6,374,2.24,1,1,0.918,0.09,1.0,15.26,8.44,556.1,16995960.0,None/Low
C01082,23.85934859991375,87.17842378777483,2776.0,720,4.49,0,0,0.587,1.607,12.3,27.96,17.97,1543.6,54961406.0,High
C01083,23.272743468770603,74.92777659549375,2661.0,590,3.89,0,1,0.805,0.132,9.0,14.86,0.17,917.7,26794153.0,None/Low
C01084,28.882313373170824,77.64416743446534,4424.2,947,3.95,1,2,0.23,0.379,10.2,8.59,3.5,1087.2,27716762.0,Moderate
C01085,25.689107214999126,72.86902482910365,1261.1,284,1.29,0,0,0.729,1.187,9.4,28.46,14.58,650.6,22405434.0,High
C01086,20.605720873877985,90.01443365502857,1956.1,524,2.03,0,2,0.631,0.715,8.6,22.77,11.17,794.7,31068397.0,Moderate
C01087,26.34126457698065,76.67363854940126,1671.4,328,3.45,2,0,0.867,0.585,4.5,14.67,2.89,739.2,17553657.0,Moderate
C01088,19.51430377935839,79.29768759961523,6989.0,1990,3.77,3,4,0.813,1.075,8.4,39.66,13.97,3612.5,185526594.0,High
C01089,18.75501954986028,88.88181320431758,13015.3,3009,1.4,3,8,0.648,2.003,20.6,57.63,42.05,8362.6,412629889.0,Severe
C01090,25.626455727014353,80.37999162560064,742.2,179,4.16,0,1,0.716,0.0,6.7,24.66,2.72,222.0,10639166.0,None/Low
C01091,27.402615765391392,84.00709675589319,1020.5,204,1.99,0,0,0.886,1.249,11.9,38.01,16.38,577.9,20974000.0,High
C01092,18.95878412371248,84.94993145713973,1336.6,297,2.35,0,1,0.408,2.371,21.4,57.13,38.12,866.9,41166643.0,Severe
C01093,18.7276440009955,86.93008865158639,1867.6,401,10.39,0,3,0.827,0.686,6.9,34.78,21.07,840.8,35738624.0,Moderate
C01094,28.573741117975864,83.51421882502112,846.6,241,1.73,0,1,0.557,0.839,6.8,31.94,26.25,347.2,18137235.0,Moderate
C01095,22.157940151460725,82.24460939031897,3384.1,617,5.13,0,1,0.599,1.613,17.6,30.74,27.85,1895.5,57248209.0,High
C01096,20.546479064647777,86.19124202511804,41862.7,11164,1.9,5,21,0.582,0.627,5.2,25.57,20.37,15839.2,703910015.0,Moderate
C01097,23.37573654834474,82.21401637176169,2737.8,512,1.4,0,0,0.674,2.396,23.0,55.67,33.12,1970.9,75072063.0,Severe
C01098,20.685434807517055,89.41685126757777,664.2,186,2.89,0,1,0.783,1.167,10.1,33.29,26.13,349.2,15525320.0,High
C01099,27.638087308895145,79.50428991484117,938.4,226,1.45,0,0,0.453,0.65,1.3,21.37,9.58,328.7,12671297.0,Moderate
C01100,28.360796847512027,81.99236676349688,1634.7,301,1.81,0,0,0.907,0.53,5.3,23.37,8.81,723.0,21378098.0,Moderate
C01101,20.950131808100185,86.59127979890924,8114.8,2233,3.1,1,7,0.946,2.118,13.7,52.9,31.66,5986.0,284687039.0,Severe
C01102,22.030762780863782,82.12988249933798,7972.6,1513,0.23,1,11,0.572,0.769,8.6,22.92,23.21,3198.7,100817537.0,Moderate
C01103,25.908993448907026,90.44538924112479,1600.1,394,5.54,0,1,0.92,2.328,20.2,38.07,37.83,1230.4,42289434.0,Severe
C01104,18.138283777935598,77.71259459628554,1542.5,350,1.93,0,2,0.503,1.828,19.9,46.82,37.07,886.7,40315387.0,High
